category,J_mean,J_last_mean
deformation,0.36125000000000007,0.2679166666666667
occlusion,0.289258064516129,0.2202258064516129
flip,0.5613333333333334,0.5856666666666667
breakup,0.35803846153846164,0.2175769230769231
