category,J_mean,J_last_mean
flip,0.6864778333333333,0.7236606666666666
occlusion,0.45820487096774204,0.3916614516129033
breakup,0.4949073653846154,0.3315784807692308
deformation,0.46793391666666667,0.4577259999999999
